,grav
177493,1
53454,1
25456,1
34995,1
135763,1
31325,1
199408,1
208719,1
133695,1
151231,1
66511,1
254613,1
56418,1
214163,1
63585,1
249105,1
192288,1
160011,1
134129,1
182999,1
24481,1
155414,1
26415,1
92068,1
106947,1
191688,1
169904,1
138525,1
237015,1
136210,1
104905,1
33320,1
90867,1
1955,1
72953,1
72912,1
172542,1
36967,1
229014,1
260480,1
213634,1
125336,1
52633,1
123285,1
257718,1
142891,1
154130,1
210687,1
154463,1
74986,1
31370,1
84276,1
117425,1
149424,1
222131,1
52500,1
56887,1
158946,1
230313,1
134469,1
230970,1
17709,1
60621,1
74119,1
38932,1
140017,1
107550,1
225544,1
73334,1
169767,1
151469,1
28882,1
145588,1
12659,1
8636,1
185336,1
132119,1
40861,1
150740,1
141873,1
83799,1
120283,1
253478,1
241775,1
256540,1
55212,1
7883,1
118674,1
17868,1
144909,1
134344,1
45615,1
258326,1
219453,1
8091,1
125529,1
223542,1
15161,1
152807,1
150197,1
45421,1
247812,1
206633,1
26336,1
199820,1
132029,1
2368,1
185669,1
254067,1
201048,1
200946,1
160902,1
88828,1
153896,1
54035,1
183178,1
71780,1
16855,1
117781,1
12623,1
36413,1
218957,1
259880,1
188944,1
170609,1
81181,1
87614,1
51404,1
69867,1
162486,1
112972,1
148097,1
100390,1
52078,1
21876,1
107827,1
258367,1
183697,1
235731,1
45906,1
36365,1
10978,1
88321,1
115951,1
213619,1
177087,1
203495,1
38693,1
136477,1
145805,1
22237,1
243593,1
255896,1
225549,1
29952,1
125475,1
213049,1
14796,1
245219,1
250767,1
105251,1
62873,1
243947,1
36495,1
81434,1
26838,1
255450,1
133484,1
232517,1
115728,1
98897,1
97693,1
64079,1
106096,1
12694,1
145583,1
228961,1
80106,1
238304,1
61927,1
182726,1
163172,1
51740,1
252238,1
33599,1
9418,1
253563,1
115563,1
166646,1
32322,1
225038,1
6470,1
144416,1
114968,1
222103,1
38358,1
70697,1
255316,1
111598,1
157557,1
89474,1
133239,1
182324,1
258961,1
21865,1
78467,1
205714,1
238277,1
43163,1
10526,1
149263,1
233049,1
203027,1
195479,1
254368,1
4389,1
179069,1
187891,1
192780,1
70957,1
111388,1
123792,1
107468,1
228845,1
82985,1
191159,1
129219,1
16190,1
171997,1
240911,1
194844,1
234123,1
156808,1
100682,1
196215,1
169655,1
129404,1
239109,1
64904,1
130298,1
230385,1
108045,1
177177,1
251204,1
52453,1
8076,1
240169,1
100039,1
165523,1
19112,1
27412,1
49484,1
167484,1
