,grav
273427,4
316638,4
17608,1
280567,1
253168,4
66079,4
102558,4
143879,4
185121,1
135596,3
45022,4
296406,3
319361,3
312312,4
211355,4
262340,4
267737,1
88936,1
49965,4
233731,1
207900,4
155689,1
274744,1
71516,1
39337,3
132333,1
74073,1
243515,1
215904,4
7702,1
20772,2
52094,3
308096,2
61616,4
213006,4
300187,1
17201,1
38270,1
98582,1
207113,1
62310,1
242858,1
225484,1
172406,4
298845,4
163428,3
308027,3
126624,4
274750,3
149624,3
238546,4
41019,4
25814,3
157009,3
27193,1
176256,4
212107,4
94461,1
172183,1
40431,1
181760,1
71965,4
217877,1
204520,1
250252,1
202689,4
82376,3
67127,1
296328,3
162865,1
76204,3
9037,3
227979,1
12063,1
21228,1
276306,4
74412,4
64222,1
207012,1
304668,4
170521,4
204108,4
198104,4
276802,1
204660,1
111920,1
298054,2
305032,3
66310,3
57777,1
203729,4
79422,4
260662,4
136134,4
196471,3
196234,4
264781,1
127331,4
226621,1
180864,1
230618,3
165916,1
6708,1
25188,2
169469,4
80964,4
1853,4
257869,1
58410,4
97374,4
26211,1
189596,3
319521,1
94578,1
63331,1
199790,4
213799,4
32009,3
236553,4
315655,1
47089,4
35239,1
289134,1
202740,4
266407,4
159672,3
162524,1
260645,1
280192,1
139718,4
169679,3
244750,4
185292,1
30672,1
272727,1
148656,1
149048,1
220281,1
325389,3
89919,3
203100,1
100801,4
31902,4
153580,1
7435,1
291818,4
110753,1
147859,1
159221,4
132616,1
86681,1
291742,1
131323,4
271076,1
42574,4
59201,1
138855,1
64640,4
151518,1
221983,1
248820,4
136203,1
305467,1
54379,1
114080,1
15125,1
100529,1
138533,1
241540,1
17176,2
36586,4
282590,3
214734,2
251627,1
243661,3
204255,4
230340,4
7854,3
281209,1
55151,3
50692,4
8325,4
141691,4
81648,4
296890,4
254610,4
232570,4
54414,1
195276,4
136861,1
204269,3
44408,2
262095,4
234449,1
229514,1
273831,4
241846,4
49149,1
44542,3
225499,4
255410,4
217503,1
87404,1
62308,1
275150,4
83732,2
69726,1
175555,4
105885,1
194025,3
53221,4
304618,1
131829,4
102076,4
72769,1
204427,4
223,1
319039,1
219853,1
257539,4
44619,1
260561,3
26430,1
192843,1
40779,4
149215,1
314482,4
315754,4
116416,1
229039,4
25514,3
24957,4
56337,1
130676,4
260068,1
314821,4
181995,4
137385,4
266520,4
32399,4
115608,4
50952,4
221950,1
190182,4
256422,4
275697,4
280698,4
244107,1
60154,4
9480,4
110514,1
225661,1
62801,4
213007,1
151002,4
120918,1
179677,3
216955,1
230192,1
299849,3
255279,1
216412,1
227115,4
13814,1
177027,4
319110,1
206326,4
265232,4
18129,4
238210,4
186204,1
85789,4
207225,1
307130,4
302715,3
106714,2
94621,1
241197,1
219467,4
257324,4
125076,4
222032,1
305275,4
303068,3
217117,4
203457,4
164497,3
322554,1
189643,1
33809,1
291185,4
321933,1
18542,1
47102,1
197146,4
238496,4
65315,4
140011,1
295013,4
99475,4
103920,1
184857,4
227739,4
172511,1
292513,3
54996,4
83803,4
31882,1
259959,1
120003,1
162206,1
88149,1
134134,4
172920,1
299536,1
196789,1
152217,3
270199,3
294708,4
25817,1
79171,1
25579,4
59561,4
238613,2
155599,1
270047,1
322636,1
296117,4
16615,4
41178,3
191820,1
174631,1
9851,3
275051,4
139370,4
7504,4
61235,3
